X,Y,TYPE,SPEED,DirType,Direction
-0.12385,39.87053,F100JFCACV-18Km13.32BurrianaDIRNules,0,4,0
-4.52196,41.59363,F080JOGON-122Km342.25Tudela-DueroDIRSoria,0,4,0
1.13209,41.39300,F080JAAMN-240Km39.64EsplugasdeFrancolíDIRTarragona,0,4,0
-6.95676,42.03929,F120A300A-52Km110.55TúnelLaCandaDIRBenavente,0,4,0
-0.40636,39.37722,F100ZENTV-31Km5.25SillaDIRValencia,0,4,0
2.00329,41.57105,F050CHARTerrassaAvTarradellas-PlCompanysDIRCentro,0,4,0
2.03863,41.55305,F050CHARTerrassaAvVallésEste-EnlaceN-150DIRSur,0,4,0
2.01816,41.58250,F050CHARTerrassaCrtaMatadeperaKm1.4MossosDIRCentro,0,4,0
2.02456,41.54002,F050CHARTerrassaCrtaRubíKm23DeixalleriaDIRCentro,0,4,0
0.91457,41.75453,F090CAÑIC-53Km135.4BellcaireDIRBalaguer,0,4,0
-5.76730,39.02958,F090SERKN-430Km113CastilloLaEncomiendaDIRC.Real,0,4,0
-1.01996,37.69451,F120PENDA-30Km179.3EnlaceAP-7DIRCartagena,0,4,0
-0.30144,39.64957,F120A300A-7Km478.2ÁreaServicioSaguntoDIRAlicante,0,4,0
-0.75587,38.26084,F120OCELA-7Km522ElcheDIRMurcia,0,4,0
0.14238,38.77532,F060A300CV-734Km6.1GatadeGorgosDIRJávea,0,4,0
-16.36292,28.38236,F100GUANTF-1Km13.85CaletillasDIRStaCruz,0,4,0
1.12241,41.12847,F070JAAMC-14Km4.35SalouDIRReus,0,4,0
0.56895,41.83861,F090REBEN-230Km27.51AlfarrásDIRLérida,0,4,0
0.44940,40.52266,F090CURSN-238Km5VinarozDIRUlldecona,0,4,0
0.71043,42.45961,F090REBEN-230Km130.1VilallerDIRLérida,0,4,0
0.57710,41.45677,F090AKLAC-12Km120.2SarrocadeLleidaDIRTortosa,0,4,0
1.07654,41.15457,F100BELMT-11Km2.34ReusDIRTarragona,0,4,0
-0.09629,38.56326,F080TABLN-332Km151.6BenidormDIRValencia,0,4,0
0.98605,41.42530,F090EDULN-240Km53.19VinaixaDIRHuesca,0,4,0
1.64790,42.36620,F090SGTAN-260Km209.1PontdeBarDIRPuigcerdá,0,4,0
0.83522,41.53756,F090SIMPN-240Km72LesBorgesBlanquesDIRHuesca,0,4,0
1.67762,41.45637,F090MCHOC-244Km22.1SantQuintíMedionaDIRIgualada,0,4,0
0.49107,40.62726,F120HCCSAP-7Km337.04UlldeconaDIRAlicante,0,4,0
-4.82143,37.77638,F090VTS-A-4Km415CuestadelToroDIRCádiz,0,4,0
-2.88094,43.29112,F080CHATBI-631Km10.2DerioDIRBilbao,0,4,0
-2.91505,43.23280,F080CHATAP-68Km0.27EnlaceA-8DIRBilbao,0,4,0
-2.98586,43.28756,F060JONN-637Km8.61BaracaldoDIRPteRontegui,0,4,0
-3.12923,43.34168,F100JON-A-8Km137.15MuskizDIRIrún,0,4,0
-3.10561,43.33790,F080JON-A-8Km134.96MuskizDIRSantander,0,4,0
-2.99545,43.34310,F080JON-BI-637Km14.69ParqueArteaDIRBerango,0,4,0
-2.99468,43.34773,F080JON-BI-637Km15.33GuetxoDIRBilbao,0,4,0
-2.89941,43.17930,F120CHATAP-68Km7.45MiraballesDIRBilbao,0,4,0
0.81300,41.76357,F090Kx0-C-13Km28BalaguerDIRLérida,0,4,0
1.16853,41.65744,F120LETAA-2Km510TárregaDIRMadrid,0,4,0
-3.89040,40.16704,F060A300CM-4008Km2.74CarranqueDIRIllescas,0,4,0
-2.25540,43.27492,F080CHATAP-8Km46.8Zumaia-CurvaBeduaDIRIrún,0,4,0
-2.09254,43.11510,F080GOVIN-IKm432.3E.S.Tolosa-AlegiaDIRMadrid,0,4,0
-2.38618,43.25723,F120JBSPAP-8Km61.1Mendaro-TúnelIztiñaDIRGalicia,0,4,0
-2.09739,43.10627,F100GOVIA-IKm431CurvasAlegiaDIRN,0,4,0
-2.99887,43.10334,F070TRAPA-625Km365.1LuyaondoDIRAmurrio,0,4,0
-2.99522,43.10985,F070TRAPA-625Km365.9LuyaondoDIRLlodio,0,4,0
-0.11732,38.56064,F080TABLN-332Km149.6BenidormDIRAlicante,0,4,0
-2.54490,42.53262,F090AMOSA-124Km68.7CurvaCastejonesDIRLaguardia,0,4,0
-2.54362,42.53186,F090AMOSA-124Km68.8CurvaCastejonesDIRLogroño,0,4,0
-0.13135,39.88455,F090XIMON-340Km960.9Alq.NiñoPerdidoDIRCastellón,0,4,0
